Date,MBAU,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jun 2022,State,NCAR,Low,High,4785.82,199.04,430.98,346.18,338.7,212.34,221.15,55.72,58.88,0,-58.18,0,4527.88,215.69,303.65,156.61,5203.81,5065.27,-40097.37,369.010000000001,-129.010000000002,Low
Jul 2022,State,NCAR,Low,High,14157.19,254.09,138.77,236.21,256.87,195.63,206.8,52.46,208.14,0,-60.11,0,13694.94,155.53,288.79,156.67,14295.94,5053.41,-40418.7,-11.8600000000006,-321.329999999994,Low
Aug 2022,State,NCAR,Low,High,13776.4,213.12,94.48,224.56,211.97,185.25,188.74,46.91,197.85,0,-51.55,0,13365.43,107.85,254.25,135.22,13862.74,4980.17,-40581.66,-73.2399999999998,-162.959999999999,Low
Sep 2022,State,NCAR,Low,High,8263.38,149.21,98.92,174.49,160.69,137.93,173.55,41.7,146.35,0,-34.33,0,7967.81,85.21,217.79,103.04,8373.88,4894.47,-40712.36,-85.6999999999998,-130.700000000004,Low
Oct 2022,State,NCAR,Low,High,18680.17,313.94,125.07,330.79,110.4,51.73,68.67,12.76,275.22,0,-59.22,0,18091,108.8,93.03,36.03,18328.84,4831.26,-40835.23,-63.21,-122.870000000003,Low
Nov 2022,State,NCAR,Low,High,1042.19,42.52,83.98,103.75,56.53,51.81,35.05,3.32,28.11,0,-39,0,971.57,57.03,53.85,1.42,1083.86,4852.82,-40711.19,21.5600000000004,124.040000000001,Low
Dec 2022,State,NCAR,Low,High,4726.42,108.77,61.37,191.82,32.66,85.86,31.41,2,109.41,0,-43.11,0,4508.24,74.63,42.29,0,4625.16,4835.4,-40755.22,-17.420000000001,-44.0299999999988,Low
Jan 2023,State,NCAR,Low,High,4892.15,96.74,56.03,130.73,37.3,17.94,31.43,2.11,118.06,0,-49.16,0,4677.36,51.86,43.85,0,4773.07,4769.3,-40718.32,-66.1000000000004,36.9000000000087,Low
Feb 2023,State,NCAR,Low,High,2733.88,47.57,65.47,125.1,29.51,46.26,31.57,2.2,62.79,0,-43.71,0,2623.52,48.37,50.56,0.1,2722.58,4774.06,-40678.71,4.76000000000022,39.6099999999933,Low
Mar 2023,State,NCAR,Low,High,1972.83,63.94,112.82,166.58,39.12,73.08,55.87,8.3,42.6,0,-37.38,0,1866.29,81.54,82.96,9.23,2040.02,4736.11,-40689.08,-37.9499999999989,-10.3700000000026,Low
Apr 2023,State,NCAR,Low,High,329.61,199.84,284.29,167.85,302.42,75.58,213.72,53.93,6.98,0,-98.74,0,122.79,188.18,244.78,76.17,631.93,4666.74,-40740.65,-69.3700000000008,-51.5699999999924,Low
May 2023,State,NCAR,Low,High,10455.41,255.89,411.5,322.04,360.84,87.33,154.86,36.89,156.25,0,-115.33,0,10043.27,187.17,225.57,130.08,10586.12,4808.57,-41068.33,141.830000000001,-327.680000000008,Low
Jun 2023,State,NCAR,Low,High,7687.52,119.48,240.83,170.37,314.43,173.98,196.62,48.66,98.07,0,-77.39,0,7469.96,126.9,286.77,157.45,8041.07,4974.46,-41275.46,165.889999999999,-207.130000000005,Low
Jul 2023,State,NCAR,Low,High,16502.68,252.58,66.06,228.35,201.77,148.84,204.44,51.46,261.56,0,-62.29,0,15988.54,99.67,283.23,158.82,16530.26,4976.11,-41560.17,1.65000000000055,-284.709999999992,Low
Aug 2023,State,NCAR,Low,High,6682.36,107.53,46.25,150.72,181.51,226.27,240.31,61.24,104.53,0,-36.45,0,6470.3,84.28,295.17,135.36,6985.12,4898.77,-41672.71,-77.3400000000001,-112.540000000001,Low
Sep 2023,State,NCAR,Low,High,1052.06,13.46,35.35,88.39,154.96,232.29,229.45,57.31,13.91,0,-18.21,0,1024.7,55.93,268.24,111.77,1460.64,4737.92,-41919.09,-160.85,-246.380000000005,Low
Oct 2023,State,NCAR,Low,High,11156.42,165.4,31.45,116.41,129.05,60.7,78.19,15.75,173.13,0,-46.49,0,10817.88,58.62,100.15,26.1,11002.73,4564.51,-42207.31,-173.41,-288.219999999994,Low
Nov 2023,State,NCAR,Low,High,6429.1,113.98,37.86,91.98,102.06,42.68,40.63,4.88,127.7,0,-48.64,0,6187.42,49.12,59.68,3.79,6300.01,4595.13,-42169.21,30.6199999999999,38.0999999999985,Low
Dec 2023,State,NCAR,Low,High,7216.88,109.25,37.71,130.75,102.79,86.04,31.55,1.99,122.03,0,-49.09,0,6985.6,48.54,41.67,0,7075.8,4630.55,-42129.67,35.4200000000001,39.5400000000009,Low
Jan 2024,State,NCAR,Low,High,5228.01,79.23,38.98,75.88,78.63,19.09,31.56,2.11,108.65,0,-50.32,0,5040.13,33.14,44.41,0,5117.68,4635.18,-42086.27,4.63000000000011,43.3999999999942,Low
Feb 2024,State,NCAR,Low,High,3923.91,46.28,41.9,94.14,55.87,52.19,31.57,2.21,71.54,0,-44.42,0,3806.08,34.78,47.45,0,3888.31,4679.72,-42057.4,44.5399999999991,28.8700000000099,Low
Mar 2024,State,NCAR,Low,High,2154.71,31.8,51.1,120.15,37.97,96.34,38.26,4.41,40.5,0,-35.02,0,2082.41,56.15,69.76,3.08,2211.4,4665.28,-42059.6,-14.4399999999987,-2.20000000001164,Low
Apr 2024,State,NCAR,Low,High,1774.16,140.06,95.23,110.28,146.65,79.54,182.74,46.04,41.12,0,-43.71,0,1592.97,101.61,202.8,36.26,1933.64,4570.99,-42091.05,-94.2900000000009,-31.4499999999971,Low
May 2024,State,NCAR,Low,High,5456.54,242.71,318.11,231.2,349.55,96.82,182.04,43.66,60.24,0,-63.65,0,5153.6,140.54,250.56,128.6,5673.32,4572.02,-42266.58,1.03000000000065,-175.529999999992,Low
Jun 2024,State,NCAR,Low,High,5349.53,124.33,261.59,230.24,335.3,229.73,215.61,53.55,65.12,0,-30.77,0,5160.08,80.87,294.57,155.89,5691.41,4712.57,-42537,140.549999999999,-270.420000000006,Low
Jul 2024,State,NCAR,Low,High,11577.46,171.76,91.22,215.12,215.83,209.48,226.14,57.21,179.6,0,-42.76,0,11226.1,84.26,301.27,157.51,11769.14,4685.62,-42820.58,-26.9499999999989,-283.580000000002,Low
Aug 2024,State,NCAR,Low,High,13016.08,191.39,71.39,203.82,199.97,200.49,164.66,39.72,194.26,0,-36.6,0,12630.47,96.07,227.48,132.28,13086.27,4559.64,-43010.17,-125.98,-189.589999999989,Low
Sep 2024,State,NCAR,Low,High,6089.95,83.95,65.89,145.53,157.27,190.49,183.55,44.79,95.69,0,-28.48,0,5910.29,66.02,225.48,105.45,6307.25,4456.58,-43109.73,-103.06,-99.5600000000049,Low
Oct 2024,State,NCAR,Low,High,6181.78,79.83,36.47,108.89,90.17,89.38,134.57,31.52,88,0,-39.22,0,6013.95,45.84,147.99,38.71,6246.52,4336.62,-43286.73,-119.96,-176.999999999993,Low
Nov 2024,State,NCAR,Low,High,1740.27,25.31,47.3,63.01,59.37,44.83,41.96,5.08,36.67,0,-42.66,0,1678.29,37.75,58.05,3.51,1777.61,4292.45,-43379.74,-44.1700000000001,-93.0100000000093,Low
Dec 2024,State,NCAR,Low,High,8396.44,123.85,41.39,139.55,114.23,86.07,31.7,1.98,134.57,0,-51.96,0,8138.02,49.5,41.1,0,8228.63,4285.81,-43426.11,-6.63999999999942,-46.3700000000099,Low
